[2020-11-18 17:15:53,260] - __main__ -  WARNING: JSON file could not be opened
[2020-11-18 17:16:04,977] - data -  WARNING: JSON file could not be opened
[2020-11-18 17:16:26,782] - data -  WARNING: JSON file could not be opened
[2020-11-18 17:16:29,709] - data -  WARNING: JSON file could not be opened
[2020-11-18 17:17:02,057] - data -  WARNING: JSON file could not be opened
[2020-11-18 17:17:20,649] - data -  WARNING: JSON file could not be opened
[2020-11-18 17:17:46,188] - data -  WARNING: JSON file could not be opened
[2020-11-18 17:18:45,384] - data -  WARNING: JSON file could not be opened
[2020-11-18 17:20:24,887] - data -  WARNING: JSON file could not be opened
[2020-11-18 17:20:29,631] - data -  WARNING: JSON file could not be opened
[2020-11-18 17:20:29,631] - data -  WARNING: JSON file could not be opened
[2020-11-18 17:21:49,878] - data -  WARNING: JSON file could not be opened
[2020-11-18 17:21:52,914] - data -  WARNING: JSON file could not be opened
[2020-11-18 17:21:52,914] - data -  WARNING: JSON file could not be opened
[2020-11-18 17:24:03,259] - data -  WARNING: JSON file could not be opened
[2020-11-18 17:24:05,023] - data -  WARNING: JSON file could not be opened
[2020-11-18 17:24:05,023] - data -  WARNING: JSON file could not be opened
[2020-11-18 17:25:47,507] - data -  WARNING: JSON file could not be opened
[2020-11-18 17:25:49,192] - data -  WARNING: JSON file could not be opened
[2020-11-18 17:25:49,192] - data -  WARNING: JSON file could not be opened
[2020-11-18 17:26:56,289] - data -  WARNING: JSON file could not be opened
[2020-11-18 17:26:57,873] - data -  WARNING: JSON file could not be opened
[2020-11-18 17:26:57,873] - data -  WARNING: JSON file could not be opened
[2020-11-18 17:27:34,770] - data -  WARNING: JSON file could not be opened
[2020-11-18 17:27:36,035] - data -  WARNING: JSON file could not be opened
[2020-11-18 17:27:38,845] - data -  WARNING: JSON file could not be opened
[2020-11-18 17:27:40,884] - data -  WARNING: JSON file could not be opened
[2020-11-18 17:27:40,884] - data -  WARNING: JSON file could not be opened
[2020-11-18 17:30:06,862] - data -  WARNING: JSON file could not be opened
[2020-11-18 17:40:56,807] - data -  WARNING: JSON file could not be opened
[2020-11-18 17:40:56,807] - data -  WARNING: JSON file could not be opened
[2020-11-25 12:44:57,071] - modes -  ERROR: setCurrentMode requires a Mode object
[2020-11-25 12:45:26,824] - modes -  ERROR: setCurrentMode requires a Mode object
[2020-11-25 12:45:52,745] - modes -  ERROR: setCurrentMode requires a Mode object
[2020-11-25 12:46:32,852] - modes -  ERROR: setCurrentMode requires a Mode object
[2020-11-25 12:46:54,682] - modes -  ERROR: setCurrentMode requires a Mode object
[2020-11-29 15:45:52,062] - modes -  ERROR: ventricular_amplitude operating parameter does not exist in the aoo mode
[2020-11-29 15:45:52,063] - modes -  ERROR: ventricular_pulse_width operating parameter does not exist in the aoo mode
[2020-11-29 15:45:52,065] - modes -  ERROR: ventricular_refactory_period operating parameter does not exist in the aoo mode
[2020-11-29 15:45:52,065] - modes -  ERROR: atrial_refactory_period operating parameter does not exist in the aoo mode
[2020-11-29 15:45:52,065] - modes -  ERROR: post_ventricular_atrial_refractory_period operating parameter does not exist in the aoo mode
[2020-11-29 15:45:52,065] - modes -  ERROR: rate_smoothing operating parameter does not exist in the aoo mode
[2020-11-29 15:45:52,065] - modes -  ERROR: fixed_av_delay operating parameter does not exist in the aoo mode
[2020-11-29 15:45:52,065] - modes -  ERROR: maximum_sensor_rate operating parameter does not exist in the aoo mode
[2020-11-29 15:45:52,066] - modes -  ERROR: activity_threshold operating parameter does not exist in the aoo mode
[2020-11-29 15:45:52,066] - modes -  ERROR: reaction_time operating parameter does not exist in the aoo mode
[2020-11-29 15:45:52,066] - modes -  ERROR: response_factor operating parameter does not exist in the aoo mode
[2020-11-29 15:45:52,066] - modes -  ERROR: recovery_time operating parameter does not exist in the aoo mode
[2020-11-29 15:47:15,990] - modes -  ERROR: ventricular_amplitude operating parameter does not exist in the aoo mode
[2020-11-29 15:47:15,991] - modes -  ERROR: ventricular_pulse_width operating parameter does not exist in the aoo mode
[2020-11-29 15:47:15,991] - modes -  ERROR: ventricular_refactory_period operating parameter does not exist in the aoo mode
[2020-11-29 15:47:15,991] - modes -  ERROR: atrial_refactory_period operating parameter does not exist in the aoo mode
[2020-11-29 15:47:15,991] - modes -  ERROR: post_ventricular_atrial_refractory_period operating parameter does not exist in the aoo mode
[2020-11-29 15:47:15,991] - modes -  ERROR: rate_smoothing operating parameter does not exist in the aoo mode
[2020-11-29 15:47:15,991] - modes -  ERROR: fixed_av_delay operating parameter does not exist in the aoo mode
[2020-11-29 15:47:15,991] - modes -  ERROR: maximum_sensor_rate operating parameter does not exist in the aoo mode
[2020-11-29 15:47:15,991] - modes -  ERROR: activity_threshold operating parameter does not exist in the aoo mode
[2020-11-29 15:47:15,991] - modes -  ERROR: reaction_time operating parameter does not exist in the aoo mode
[2020-11-29 15:47:15,991] - modes -  ERROR: response_factor operating parameter does not exist in the aoo mode
[2020-11-29 15:47:15,991] - modes -  ERROR: recovery_time operating parameter does not exist in the aoo mode
[2020-11-29 15:47:42,216] - modes -  ERROR: ventricular_amplitude operating parameter does not exist in the aoo mode
[2020-11-29 15:47:42,217] - modes -  ERROR: ventricular_pulse_width operating parameter does not exist in the aoo mode
[2020-11-29 15:47:42,217] - modes -  ERROR: ventricular_refactory_period operating parameter does not exist in the aoo mode
[2020-11-29 15:47:42,217] - modes -  ERROR: atrial_refactory_period operating parameter does not exist in the aoo mode
[2020-11-29 15:47:42,217] - modes -  ERROR: post_ventricular_atrial_refractory_period operating parameter does not exist in the aoo mode
[2020-11-29 15:47:42,217] - modes -  ERROR: rate_smoothing operating parameter does not exist in the aoo mode
